,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Year,Month,Year_Month,Geographic Location,Location,Latitude,Longitude,Drought / No Drought,MYD13A3_061__1_km_monthly_EVI,MYD13A3_061__1_km_monthly_NDVI,MYD13A3_061__1_km_monthly_VI_Quality_VI_Usefulness_Description,Deep_Drainage,PET_Actual,E_Actual,Soil_M_root_zone,Qtot,Rainfall,ENSO,IOD,IPO_TPI,SAMI,P_acc_3M,precip_calculated_index,precip_scale_2_calculated_index,precip_scale_3_calculated_index,precip_scale_6_calculated_index,precip_scale_9_calculated_index,precip_scale_12_calculated_index,precip_scale_24_calculated_index
23,23,23,23,23,23,23,2014,January,2014-01,Tamworth,Tamworth,-31.083,150.917,1,0.2543,0.3985,['Highest quality'],0.9453125,250.7421875,22.0625,0.025390625,0.0,1.703125,-1.26,-0.036,-0.157,-0.13,152.203125,-3.065628704,-2.079045464,-1.200773799,-1.441543271,-1.0067383807834538,-0.8417503305115168,-0.1749826810705798
24,24,24,24,24,24,24,2014,March,2014-03,Coonabarabran,Coonabarabran,-31.25,149.2667,1,0.2027,0.4371,['Highest quality'],2.568359375,142.609375,74.1640625,0.288085938,3.46875,119.703125,0.54,-0.051,-0.138,1.34,217.1015625,0.863094078,0.733095198,-0.02144038,-1.010448698,-1.120705034814146,-0.9869987432345813,-0.7918323414942312
25,25,25,25,25,25,25,2014,February,2014-02,Coonabarabran,Coonabarabran,-31.25,149.2667,1,0.2193,0.3738,['Highest quality'],2.299804688,184.3671875,32.1015625,0.115234375,2.9609375,91.796875,-0.37,-0.009,-0.147,0.36,117.0,0.439517833,-0.647475116,-1.102755792,-1.510338101,-1.228998063227951,-1.0263058544086423,-0.8160387201938698
26,26,26,26,26,26,26,2014,January,2014-01,Coonabarabran,Coonabarabran,-31.25,149.2667,1,0.1918,0.3364,['Highest quality'],2.646484375,251.140625,50.6328125,0.048828125,1.7109375,5.6015625,-1.26,-0.036,-0.157,-0.13,57.3046875,-2.814317021,-1.905393813,-1.79312943,-1.891029319,-1.1930900867084335,-1.0439202247827768,-0.5715225825250868
27,27,27,27,27,27,27,2014,April,2014-04,Walgett,Walgett,-30.0167,148.1167,1,0.2048,0.3705,['Highest quality'],0.2890625,127.5390625,34.2890625,0.104492188,0.015625,20.5,-0.17,0.017,-0.13,1.18,81.5,0.167542057,-0.041581777,-0.446697077,-1.1888745,-1.2850556109620337,-1.3545095523104531,-1.3004497271518844
28,28,28,28,28,28,28,2014,April,2014-04,Coonamble,Coonamble,-30.95,148.4,1,0.3584,0.5532,['Highest quality'],0.09765625,117.140625,57.875,0.166992188,0.0859375,24.0,-0.17,0.017,-0.13,1.18,161.3046875,0.272989446,0.667978225,0.54581357,-0.714034565,-1.0462331831194775,-0.8253693179510949,-1.188929182908987
29,29,29,29,29,29,29,2014,April,2014-04,Narrabri,Narrabri,-30.3167,149.7667,1,0.3763,0.5563,['Highest quality'],0.470703125,118.328125,61.40625,0.54296875,0.234375,4.203125,-0.17,0.017,-0.13,1.18,206.8046875,-0.835939484,1.4069915,0.727968473,-0.530921112,-0.9707776232226766,-0.7625646185330914,-0.5281861246390911
30,30,30,30,30,30,30,2014,March,2014-03,Mittagong,Mittagong,-34.4508,150.4464,0,0.3811,0.627,['Highest quality'],2.821289063,108.6171875,85.2734375,0.290039063,6.6484375,217.6015625,0.54,-0.051,-0.138,1.34,284.3984375,0.931743061,0.245882587,-0.201626181,-0.643640069,-0.7702793892153029,-0.0750769292779261,-0.12918984471723316
31,31,31,31,31,31,31,2014,April,2014-04,Mittagong,Mittagong,-34.4508,150.4464,0,0.359,0.6223,['Highest quality'],2.903320313,74.6015625,59.4453125,0.56640625,4.59375,55.296875,-0.17,0.017,-0.13,1.18,316.8984375,0.326908542,1.140239909,0.363419993,-0.265091894,-0.6406087477094649,-0.0156637452476917,-0.06409199628850451
32,32,32,32,32,32,32,2014,March,2014-03,Bowral,Bowral,-34.4792,150.4181,0,0.3462,0.5768,['Highest quality'],1.48828125,109.84375,74.234375,0.217773438,0.84375,177.5,0.54,-0.051,-0.138,1.34,233.6015625,0.90687361,0.181439661,-0.294324052,-0.778340008,-0.9346838509368472,-0.1685350163012168,-0.26947669587852385
33,33,33,33,33,33,33,2014,April,2014-04,Bowral,Bowral,-34.4792,150.4181,0,0.3192,0.5817,['Highest quality'],1.458984375,74.328125,53.546875,0.479492188,0.171875,44.5,-0.17,0.017,-0.13,1.18,259.8984375,0.233781397,1.05624629,0.246709168,-0.478140058,-0.8572007675970987,-0.1247937914322478,-0.2251257691332742
34,34,34,34,34,34,34,2014,March,2014-03,Bundanoon,Bundanoon,-34.65,150.3,0,0.4262,0.7058,['Highest quality'],2.8984375,110.1484375,88.0625,0.29296875,8.6015625,210.0,0.54,-0.051,-0.138,1.34,293.1953125,0.855972021,0.141701604,-0.309694755,-0.664577478,-0.8357782766678185,0.1810163822056719,-0.1142306158667612
35,35,35,35,35,35,35,2014,April,2014-04,Bundanoon,Bundanoon,-34.65,150.3,0,0.4022,0.7195,['Highest quality'],2.9765625,74.8515625,59.484375,0.556640625,4.875,47.703125,-0.17,0.017,-0.13,1.18,321.0,0.161709191,0.995895563,0.174969992,-0.33157961,-0.7212854794548098,0.2117564859434949,-0.09785178432005408
36,36,36,36,36,36,36,2014,March,2014-03,Robertson,Robertson,-34.5833,150.5833,0,0.4404,0.7119,['Highest quality'],1.3203125,107.7265625,105.53125,0.711914063,170.84375,433.5,0.54,-0.051,-0.138,1.34,550.1953125,0.928863778,0.279495483,0.021485214,-0.076403879,-0.2381501795262423,0.5781213922156259,0.12271825559688052
37,37,37,37,37,37,37,2014,April,2014-04,Robertson,Robertson,-34.5833,150.5833,0,0.4633,0.741,['Highest quality'],1.362304688,73.3359375,64.7109375,0.827148438,74.2890625,89.1015625,-0.17,0.017,-0.13,1.18,595.5,0.151011021,1.142335052,0.379302476,0.365320368,-0.0100933088933472,0.6081792391956711,0.1695783325202161
38,38,38,38,38,38,38,2014,March,2014-03,Moss Vale,Moss Vale,-34.55,150.3833,0,0.4374,0.6751,['Highest quality'],1.92578125,108.59375,81.15625,0.26171875,3.171875,213.0,0.54,-0.051,-0.138,1.34,279.0,0.855937063,0.141116171,-0.28767402,-0.70305145,-0.858511492156723,-0.0416549762588202,-0.22050178684093977
39,39,39,39,39,39,39,2014,April,2014-04,Moss Vale,Moss Vale,-34.55,150.3833,0,0.5152,0.7515,['Highest quality'],1.93359375,73.1640625,57.0078125,0.580078125,1.5234375,52.1015625,-0.17,0.017,-0.13,1.18,309.3984375,0.211116791,1.003661127,0.19911239,-0.359582334,-0.7481494622191399,0.0027774968961912,-0.18797774170480844
40,40,40,40,40,40,40,2014,May,2014-05,Walgett,Walgett,-30.0167,148.1167,1,0.2173,0.3453,['Lower quality'],0.297851563,94.9921875,15.859375,0.046875,0.0,8.796875,0.09,-0.012,-0.121,-1.62,63.296875,-0.520244015,-0.423078542,-0.297446216,-1.149143079,-1.2276790418334214,-1.4581345580301286,-1.4021479901628928
41,41,41,41,41,41,41,2014,May,2014-05,Coonabarabran,Coonabarabran,-31.25,149.2667,1,0.2752,0.5406,['Highest quality'],2.560546875,74.0546875,32.4609375,0.1953125,1.6328125,17.203125,0.09,-0.012,-0.121,-1.62,153.203125,-0.594233116,-0.746306961,0.167980072,-0.737089073,-1.245297411921618,-1.088705389883358,-1.0049012798393817
42,42,42,42,42,42,42,2014,May,2014-05,Coonamble,Coonamble,-30.95,148.4,1,0.2725,0.403,['Lower quality'],0.100585938,86.3984375,21.578125,0.088867188,0.015625,15.0,0.09,-0.012,-0.121,-1.62,115.6015625,-0.259716362,-0.188520862,0.394875655,-0.389971656,-1.0024498452190935,-0.8743821828978481,-1.2996518472583654
43,43,43,43,43,43,43,2014,May,2014-05,Pilliga,Pilliga,-30.3518,148.8847,1,0.293,0.5047,['Lower quality'],0.645507813,88.015625,36.3828125,0.190429688,0.0078125,12.5,0.09,-0.012,-0.121,-1.62,144.6015625,-0.621995455,-0.995770193,0.815574509,-0.715112805,-1.125987191941436,-1.2497657226514862,-1.4271534234038996
44,44,44,44,44,44,44,2014,June,2014-06,Pilliga,Pilliga,-30.3518,148.8847,1,0.2815,0.4898,['Highest quality'],0.620117188,66.6484375,29.2890625,0.23828125,0.21875,48.3984375,0.37,0.086,-0.113,-0.21,69.6015625,0.416380395,0.06415787,-0.342215941,-0.134567872,-1.009299345150105,-1.0984981379757184,-1.2555132428327784
45,45,45,45,45,45,45,2014,June,2014-06,Tamworth,Tamworth,-31.083,150.917,1,0.2667,0.5045,['Lower quality'],0.885742188,55.0078125,26.0859375,0.180664063,0.0390625,51.8984375,0.37,0.086,-0.113,-0.21,96.1015625,0.071552236,-0.015642919,-0.229102648,-0.845721856,-1.1763039905147117,-1.3532847712667686,-0.9206334005067115
46,46,46,46,46,46,46,2014,June,2014-06,Cobargo,Cobargo,-36.3667,149.9,1,0.3792,0.8059,['Lower quality'],9.516601563,48.375,39.6640625,0.5,11.4609375,96.1015625,0.37,0.086,-0.113,-0.21,218.8984375,0.537790807,0.066002937,0.284154081,-0.115895833,0.0086285634157707,0.1074040653861004,-0.3003598601482808
47,47,47,47,47,47,47,2014,June,2014-06,Bega,Bega,-36.6742,149.8429,1,0.341,0.6096,['Decreasing quality (0011)'],3.647460938,50.140625,39.65625,0.493164063,1.859375,115.6015625,0.37,0.086,-0.113,-0.21,243.296875,0.854854994,0.395474597,0.759860108,0.096011844,0.2211649771451083,0.2435548663455099,-0.2061608017751656
48,48,48,48,48,48,48,2014,June,2014-06,Walgett,Walgett,-30.0167,148.1167,1,0.1916,0.345,['Highest quality'],0.287109375,71.1953125,17.96875,0.106445313,0.0703125,32.3984375,0.37,0.086,-0.113,-0.21,61.6953125,0.302866875,-0.111701349,-0.253594616,-0.876312993,-1.3527975345570709,-1.3186738977890209,-1.3781221178593486
49,49,49,49,49,49,49,2018,October,2018-10,Wentworth,Wentworth,-34.1065,141.9221,0,0.1734,0.2811,['Highest quality'],0.231445313,172.484375,11.1171875,0.030273438,0.0078125,14.1015625,0.24,0.844,,2.76,24.8984375,0.115136114,-0.513823726,-0.737521203,-1.282412515,-1.8241151155991864,-0.6466195567635549,-0.5040476180683185
50,50,50,50,50,50,50,2018,November,2018-11,Wentworth,Wentworth,-34.1065,141.9221,0,0.1882,0.2882,['Highest quality'],0.22265625,192.546875,17.546875,0.056640625,0.0703125,24.8984375,0.62,0.623,,2.84,40.8984375,0.20356224,0.040207012,-0.361685709,-0.930662514,-1.63319298801185,-0.9291740889786172,-0.5883763367515349
51,51,51,51,51,51,51,2018,December,2018-12,Wentworth,Wentworth,-34.1065,141.9221,0,0.1932,0.3072,['Lower quality'],0.23046875,231.859375,31.46875,0.081054688,0.1953125,38.0,-0.23,0.379,,1.44,77.0,0.721240047,0.483863904,0.304569504,-0.49547849,-0.9928801639774694,-1.2137524281302985,-0.38205000214551027
52,52,52,52,52,52,52,2019,January,2019-01,Wentworth,Wentworth,-34.1065,141.9221,0,0.1861,0.2759,['Highest quality'],0.229492188,267.578125,18.6015625,0.026367188,0.0,1.5,0.36,0.452,,2.79,64.3984375,-0.813750266,0.049571343,0.030260462,-0.500669426,-0.925415239070388,-1.3202295187713826,-0.5903661184752512
53,53,53,53,53,53,53,2020,October,2020-10,Wentworth,Wentworth,-34.1065,141.9221,0,0.2294,0.3616,['Highest quality'],0.215820313,146.4140625,38.96875,0.120117188,0.1875,57.0,-1.19,0.233,,1.79,121.09375,1.405425283,1.159885064,1.29083414,0.605679798,0.9038640057158184,0.3170596887619484,-0.5269761522681173
54,54,54,54,54,54,54,2020,November,2020-11,Wentworth,Wentworth,-34.1065,141.9221,0,0.1989,0.3271,['Highest quality'],0.208984375,216.078125,37.28125,0.088867188,0.0078125,7.703125,-1.19,0.143,,1.14,90.0,-0.898604848,0.679920868,0.660437953,0.462055598,0.8507782574723826,0.2969001465598322,-0.664186738720493
55,55,55,55,55,55,55,2020,December,2020-12,Wentworth,Wentworth,-34.1065,141.9221,0,0.1935,0.2954,['Highest quality'],0.215820313,229.25,15.1640625,0.041015625,0.0,8.703125,-1.86,0.1,,2.28,73.40625,-0.426513219,-0.965570793,0.236992965,0.340182998,0.4889118743215902,0.3154869719163223,-0.9046576673503912
56,56,56,56,56,56,56,2021,January,2021-01,Wentworth,Wentworth,-34.1065,141.9221,0,0.211,0.3034,['Highest quality'],0.213867188,229.7421875,16.7734375,0.0390625,0.0546875,28.0,-1.87,0.116,,1.95,44.40625,0.743827909,-0.042092765,-0.484490496,0.600486041,0.1181319585431714,0.4962251147579641,-0.7000835169956535
57,57,57,57,57,57,57,2021,February,2021-02,Wentworth,Wentworth,-34.1065,141.9221,0,0.2088,0.3068,['Highest quality'],0.193359375,180.03125,14.71875,0.046875,0.0078125,0.0,-1.84,0.323,,2.19,36.703125,-1.124338232,0.079339062,-0.324962583,0.149719654,0.076676006741264,0.4232268344160025,-0.7099148052478548
58,58,58,58,58,58,58,2021,March,2021-03,Wentworth,Wentworth,-34.1065,141.9221,0,0.2061,0.3095,['Highest quality'],0.212890625,148.125,9.2109375,0.015625,0.0,6.296875,-0.55,0.367,,-0.95,34.296875,-0.061207031,-0.519528408,-0.118881629,-0.020241188,0.1090928127699935,0.2468377071533256,-0.6548095775417658
59,59,59,59,59,59,59,2021,April,2021-04,Wentworth,Wentworth,-34.1065,141.9221,0,0.2063,0.338,['Highest quality'],0.205078125,100.203125,2.1015625,0.002929688,0.0,0.0,-0.42,0.325,,0.87,6.296875,-1.335177736,-0.95991105,-1.07661503,-0.928822552,0.0665485155961416,-0.2868170428270653,-0.6242364617740134
60,60,60,60,60,60,60,2018,October,2018-10,Finley,Finley,-35.6375,145.5787,0,0.1945,0.3272,['Highest quality'],0.25,158.5078125,15.8203125,0.041992188,0.015625,26.5,0.24,0.844,,2.76,39.796875,0.166073578,-0.622233772,-0.950150396,-1.229486702,-2.089162562029542,-1.1030454448160203,-1.1621164371331663
61,61,61,61,61,61,61,2018,November,2018-11,Finley,Finley,-35.6375,145.5787,0,0.216,0.3396,['Highest quality'],0.241210938,181.1640625,25.0078125,0.065429688,0.0078125,25.296875,0.62,0.623,,2.84,56.1953125,-0.408922838,-0.325901097,-0.795519315,-1.362030535,-1.8055266395525889,-1.0833365133879564,-1.2350454075811734
62,62,62,62,62,62,62,2018,December,2018-12,Finley,Finley,-35.6375,145.5787,0,0.2106,0.3461,['Highest quality'],0.249023438,223.578125,39.96875,0.077148438,0.0390625,38.203125,-0.23,0.379,,1.44,90.0,0.389164001,-0.094827025,-0.146855139,-1.055855347,-1.3737934093358142,-1.7476932628108512,-1.1129625675252421
63,63,63,63,63,63,63,2019,January,2019-01,Finley,Finley,-35.6375,145.5787,0,0.1965,0.3026,['Highest quality'],0.248046875,243.3203125,13.0625,0.015625,0.0,5.0,0.36,0.452,,2.79,68.5,-1.150544474,-0.362832005,-0.585391542,-1.13801743,-1.2448516871251971,-2.074554045962157,-1.2488757327752937
64,64,64,64,64,64,64,2020,October,2020-10,Finley,Finley,-35.6375,145.5787,0,0.2598,0.4037,['Highest quality'],0.233398438,140.625,42.453125,0.139648438,0.0,29.8984375,-1.19,0.233,,1.79,103.09375,0.285922771,0.08481649,0.358387544,-0.106841707,0.5502373144302043,0.2721244110109015,-0.5077125344142845
65,65,65,65,65,65,65,2020,November,2020-11,Finley,Finley,-35.6375,145.5787,0,0.2173,0.3472,['Highest quality'],0.225585938,203.4921875,37.703125,0.057617188,0.0,10.703125,-1.19,0.143,,1.14,64.8984375,-1.407202116,-0.705611099,-0.567489701,-0.255496147,0.4224964777330762,0.2052748245912284,-0.5923689657254452
66,66,66,66,66,66,66,2020,December,2020-12,Finley,Finley,-35.6375,145.5787,0,0.1822,0.2942,['Highest quality'],0.231445313,213.75,11.453125,0.012695313,0.0,7.6015625,-1.86,0.1,,2.28,48.203125,-0.901089581,-1.767117514,-1.20558987,-0.511220292,-0.1370355758794608,0.1666475052431812,-0.7880137507746101
67,67,67,67,67,67,67,2021,January,2021-01,Finley,Finley,-35.6375,145.5787,0,0.1786,0.2835,['Highest quality'],0.23046875,217.8515625,13.4609375,0.029296875,0.015625,46.296875,-1.87,0.116,,1.95,64.6015625,0.84433991,-0.06706871,-0.68073597,-0.247590947,-0.4403843316770616,0.2039620631200953,-0.5842361001407151
68,68,68,68,68,68,68,2021,February,2021-02,Finley,Finley,-35.6375,145.5787,0,0.2481,0.3655,['Highest quality'],0.208007813,175.7890625,47.234375,0.131835938,0.0625,24.6015625,-1.84,0.323,,2.19,78.5,-0.153077999,0.203858447,-0.363155919,-0.711300016,-0.4886793537199035,0.1190627711940503,-0.5328701053819995
69,69,69,69,69,69,69,2021,March,2021-03,Finley,Finley,-35.6375,145.5787,0,0.2276,0.3674,['Highest quality'],0.23046875,135.1484375,29.984375,0.108398438,0.171875,76.6015625,-0.55,0.367,,-0.95,147.5,1.251296588,0.616924185,0.713633569,-0.04345348,0.0346112602516883,0.1980142181175564,-0.19035159958610398
70,70,70,70,70,70,70,2021,April,2021-04,Finley,Finley,-35.6375,145.5787,0,0.2647,0.4403,['Highest quality'],0.22265625,94.0234375,45.8046875,0.123046875,0.0,0.8984375,-0.42,0.325,,0.87,102.1015625,-2.107218449,0.625307823,0.184615181,-0.326180081,-0.158958858460697,-0.3270826107611806,-0.20448416191207908
71,71,71,71,71,71,71,2018,October,2018-10,Deniliquin,Deniliquin,-35.5333,144.9667,0,0.2843,0.4921,['Highest quality'],0.325195313,158.9609375,22.4921875,0.094726563,0.0234375,37.3984375,0.24,0.844,,2.76,52.703125,0.545054386,-0.169917738,-0.5431347,-0.786096109,-1.5726878065191114,-0.946781570599397,-0.8982698311247845
72,72,72,72,72,72,72,2018,November,2018-11,Deniliquin,Deniliquin,-35.5333,144.9667,0,0.3088,0.5048,['Highest quality'],0.313476563,187.6953125,35.1171875,0.077148438,0.0078125,21.8984375,0.62,0.623,,2.84,64.5,-0.562450283,-0.006695481,-0.446786987,-0.902580023,-1.3344968826050176,-0.9695507389223718,-1.0089395061180153
73,73,73,73,73,73,73,2018,December,2018-12,Deniliquin,Deniliquin,-35.5333,144.9667,0,0.2884,0.5147,['Lower quality'],0.322265625,227.5546875,29.453125,0.045898438,0.015625,23.5,-0.23,0.379,,1.44,82.796875,0.053974042,-0.423795982,-0.13619287,-0.917074865,-1.1737326847037155,-1.539785757469781,-0.9708141253478827
74,74,74,74,74,74,74,2019,January,2019-01,Deniliquin,Deniliquin,-35.5333,144.9667,0,0.2857,0.4206,['Highest quality'],0.321289063,248.2265625,7.7421875,0.008789063,0.0,3.0,0.36,0.452,,2.79,48.3984375,-1.469182955,-0.934087782,-1.043860541,-1.055427823,-1.1002497126269437,-1.779545153835946,-1.1191231454541746
