,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Year,Month,Year_Month,Geographic Location,Location_x,Latitude,Longitude,Drought / No Drought,MYD13A3_061__1_km_monthly_EVI,MYD13A3_061__1_km_monthly_NDVI,MYD13A3_061__1_km_monthly_VI_Quality_VI_Usefulness_Description,Deep_Drainage,PET_Actual,E_Actual,Soil_M_root_zone,Qtot,Rainfall,ENSO,IOD,IPO_TPI,SAMI,P_acc_3M,geom,address,postal_code_Country,postal_code,countyname,lganame,Location_y,CDI,comment,CDI_0,CDI_01,CDI_012,CDI_0123,CDI_01234
11344,121,121,121,2020,April,2020-04,Bredbo,Bredbo,-35.95,149.15,0,0.2433,0.4043,['Highest quality'],3.049804688,75.8125,26.015625,0.110351563,0.2890625,22.3984375,0.48,0.064,,-1.72,185.3046875,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,1,,0,1,1,1,1
11362,122,122,122,2020,May,2020-05,Bredbo,Bredbo,-35.95,149.15,0,0.1867,0.3272,['Lower quality'],3.090820313,50.3125,18.5859375,0.099609375,0.3046875,13.8984375,-0.42,0.378,,1.03,79.5,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,0,,1,1,1,1,1
11380,123,123,123,2020,June,2020-06,Bredbo,Bredbo,-35.95,149.15,0,0.1739,0.3103,['Lower quality'],2.913085938,37.0625,11.09375,0.087890625,0.3671875,20.3984375,-0.02,0.568,,1.18,56.6953125,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,1,,0,1,1,1,1
11398,124,124,124,2020,July,2020-07,Bredbo,Bredbo,-35.95,149.15,0,0.1691,0.2965,['Lower quality'],3.020507813,42.453125,21.734375,0.15625,1.3671875,77.6015625,-0.44,0.417,,-0.97,111.8984375,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,1,,0,1,1,1,1
11416,125,125,125,2020,August,2020-08,Bredbo,Bredbo,-35.95,149.15,0,0.172,0.3165,['Lower quality'],3.9609375,60.9609375,33.6484375,0.326171875,2.1484375,70.203125,-1.28,-0.07,,-2.2,168.203125,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,5,,0,0,0,0,0
11434,126,126,126,2020,September,2020-09,Bredbo,Bredbo,-35.95,149.15,0,0.2371,0.3853,['Highest quality'],4.81640625,90.859375,48.2109375,0.180664063,0.6640625,22,-1.24,-0.084,,-0.25,169.8046875,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,5,,0,0,0,0,0
11452,127,127,127,2020,October,2020-10,Bredbo,Bredbo,-35.95,149.15,0,0.3377,0.5359,['Highest quality'],5.114257813,119.125,52.6953125,0.184570313,2.09375,85.796875,-1.19,0.233,,1.79,178,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,5,,0,0,0,0,0
11470,128,128,128,2020,November,2020-11,Bredbo,Bredbo,-35.95,149.15,0,0.3974,0.5742,['Highest quality'],5.272460938,165.484375,66.1328125,0.190429688,1.5703125,44.6015625,-1.19,0.143,,1.14,152.3984375,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,5,,0,0,0,0,0
11488,129,129,129,2020,December,2020-12,Bredbo,Bredbo,-35.95,149.15,0,0.2946,0.4356,['Lower quality'],5.21875,177.625,46.546875,0.151367188,1.40625,48,-1.86,0.1,,2.28,178.3984375,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,5,,0,0,0,0,0
11506,130,130,130,2021,January,2021-01,Bredbo,Bredbo,-35.95,149.15,0,0.2539,0.393,['Highest quality'],4.912109375,172.0078125,48.4921875,0.12890625,0.84375,35.203125,-1.87,0.116,,1.95,127.8046875,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,5,,0,0,0,0,0
11524,131,131,131,2021,February,2021-02,Bredbo,Bredbo,-35.95,149.15,0,0.2744,0.4471,['Highest quality'],4.456054688,135.609375,56.5,0.24609375,2.8359375,75.296875,-1.84,0.323,,2.19,158.5,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,5,,0,0,0,0,0
11542,132,132,132,2021,March,2021-03,Bredbo,Bredbo,-35.95,149.15,0,0.2546,0.4456,['Highest quality'],5.25390625,103.140625,48.4453125,0.256835938,3.8671875,127.796875,-0.55,0.367,,-0.95,238.296875,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,5,,0,0,0,0,0
11560,133,133,133,2021,April,2021-04,Bredbo,Bredbo,-35.95,149.15,0,0.283,0.4787,['Highest quality'],6.4921875,80.4765625,51.890625,0.241210938,0.75,4.8984375,-0.42,0.325,,0.87,207.9921875,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,5,,0,0,0,0,0
18569,156,156,156,2018,November,2018-11,Coleambally,Coleambally,-34.7972,145.8795,0,0.1826,0.314,['Highest quality'],0.192382813,189.171875,47.3828125,0.131835938,0.0703125,54.1015625,0.62,0.623,,2.84,92.203125,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,0,Parishname = Mycotha (CDI Corrected manually),1,1,1,1,1
18610,157,157,157,2018,December,2018-12,Coleambally,Coleambally,-34.7972,145.8795,0,0.1706,0.3326,['Highest quality'],0.19921875,236.9453125,38.1796875,0.048828125,0.015625,19.3984375,-0.23,0.379,,1.44,105.6015625,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,0,Parishname = Mycotha (CDI Corrected manually),1,1,1,1,1
18651,158,158,158,2018,January,2018-01,Coleambally,Coleambally,-34.7972,145.8795,0,0.2365,0.4439,['Highest quality'],0.205078125,241.828125,37.15625,0.045898438,0.015625,20.6015625,-1.12,-0.135,,2.72,154.1015625,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,3,Parishname = Mycotha (CDI Corrected manually),0,0,0,1,1
18692,159,159,159,2019,November,2019-11,Coleambally,Coleambally,-34.7972,145.8795,0,0.1844,0.3041,['Highest quality'],0.186523438,202.6875,19.4453125,0.051757813,0.0078125,19.1015625,1.07,0.958,,-4.42,35.1015625,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,2,Parishname = Mycotha (CDI Corrected manually),0,0,1,1,1
18733,160,160,160,2019,December,2019-12,Coleambally,Coleambally,-34.7972,145.8795,0,0.1665,0.2748,['Highest quality'],0.192382813,256.8828125,10.8515625,0.014648438,0,5.8984375,0.73,0.312,,-1.78,29.703125,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,1,Parishname = Mycotha (CDI Corrected manually),0,1,1,1,1
18774,161,161,161,2020,January,2020-01,Coleambally,Coleambally,-34.7972,145.8795,0,0.1772,0.3056,['Highest quality'],0.192382813,241.609375,18.8046875,0.0546875,0.09375,40.703125,0.2,0.238,,0.57,65.703125,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,2,Parishname = Mycotha (CDI Corrected manually),0,0,1,1,1
18815,162,162,162,2020,February,2020-02,Coleambally,Coleambally,-34.7972,145.8795,0,0.2622,0.412,['Highest quality'],0.1796875,189.9140625,37.703125,0.1328125,0.0234375,38.3984375,0.3,0.134,,-0.36,85,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,3,Parishname = Mycotha (CDI Corrected manually),0,0,0,1,1
18856,163,163,163,2020,March,2020-03,Coleambally,Coleambally,-34.7972,145.8795,0,0.263,0.4563,['Highest quality'],0.192382813,148.1015625,60.421875,0.166992188,0.3046875,57.203125,0.52,0.119,,2.05,136.3046875,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,3,Parishname = Mycotha (CDI Corrected manually),0,0,0,1,1
18897,164,164,164,2020,April,2020-04,Coleambally,Coleambally,-34.7972,145.8795,0,0.2821,0.5084,['Highest quality'],0.185546875,90.765625,46.1328125,0.174804688,0.15625,91.6015625,0.48,0.064,,-1.72,187.203125,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,3,Parishname = Mycotha (CDI Corrected manually),0,0,0,1,1
18938,165,165,165,2020,May,2020-05,Coleambally,Coleambally,-34.7972,145.8795,0,0.3048,0.5496,['Lower quality'],0.19140625,62.75,38.328125,0.220703125,0.0859375,9.8984375,-0.42,0.378,,1.03,158.703125,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,2,Parishname = Mycotha (CDI Corrected manually),0,0,1,1,1
18979,166,166,166,2020,June,2020-06,Coleambally,Coleambally,-34.7972,145.8795,0,0.2715,0.5269,['Lower quality'],0.185546875,44.5234375,21.8046875,0.150390625,0.0078125,22.8984375,-0.02,0.568,,1.18,124.3984375,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,2,Parishname = Mycotha (CDI Corrected manually),0,0,1,1,1
19020,167,167,167,2020,July,2020-07,Coleambally,Coleambally,-34.7972,145.8795,0,0.303,0.5927,['Lower quality'],0.190429688,51.28125,23.890625,0.159179688,0.0078125,18.8984375,-0.44,0.417,,-0.97,51.6953125,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,2,Parishname = Mycotha (CDI Corrected manually),0,0,1,1,1
19061,168,168,168,2020,August,2020-08,Coleambally,Coleambally,-34.7972,145.8795,0,0.3498,0.6119,['Highest quality'],0.190429688,73.8671875,33.0390625,0.237304688,0.078125,55.1015625,-1.28,-0.07,,-2.2,96.8984375,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,4,Parishname = Mycotha (CDI Corrected manually),0,0,0,0,1
19102,169,169,169,2020,September,2020-09,Coleambally,Coleambally,-34.7972,145.8795,0,0.3509,0.5925,['Highest quality'],0.18359375,115.046875,36.1484375,0.18359375,0.015625,27.703125,-1.24,-0.084,,-0.25,101.703125,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,5,Parishname = Mycotha (CDI Corrected manually),0,0,0,0,0
19143,170,170,170,2020,October,2020-10,Coleambally,Coleambally,-34.7972,145.8795,0,0.2629,0.4735,['Highest quality'],0.189453125,156.046875,46.9609375,0.192382813,0.0625,65.203125,-1.19,0.233,,1.79,148.0078125,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,5,Parishname = Mycotha (CDI Corrected manually),0,0,0,0,0
19184,171,171,171,2020,November,2020-11,Coleambally,Coleambally,-34.7972,145.8795,0,0.2265,0.4202,['Highest quality'],0.18359375,216.859375,56.3125,0.155273438,0.0078125,9.5,-1.19,0.143,,1.14,102.40625,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,5,Parishname = Mycotha (CDI Corrected manually),0,0,0,0,0
19225,172,172,172,2020,December,2020-12,Coleambally,Coleambally,-34.7972,145.8795,0,0.1803,0.3305,['Highest quality'],0.188476563,231.1171875,30.1328125,0.043945313,0.0078125,14.5,-1.86,0.1,,2.28,89.203125,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,5,Parishname = Mycotha (CDI Corrected manually),0,0,0,0,0
19266,173,173,173,2021,January,2021-01,Coleambally,Coleambally,-34.7972,145.8795,0,0.1751,0.31,['Highest quality'],0.188476563,226.4140625,27.8203125,0.056640625,0.0390625,57.703125,-1.87,0.116,,1.95,81.703125,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,5,Parishname = Mycotha (CDI Corrected manually),0,0,0,0,0
19307,174,174,174,2021,February,2021-02,Coleambally,Coleambally,-34.7972,145.8795,0,0.1956,0.371,['Lower quality'],0.169921875,185.2265625,43.890625,0.12890625,0.0390625,23.296875,-1.84,0.323,,2.19,95.5,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,5,Parishname = Mycotha (CDI Corrected manually),0,0,0,0,0
19348,175,175,175,2021,March,2021-03,Coleambally,Coleambally,-34.7972,145.8795,0,0.2326,0.4703,['Highest quality'],0.1875,143.328125,31.6171875,0.09375,0.1796875,61.3984375,-0.55,0.367,,-0.95,142.3984375,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,5,Parishname = Mycotha (CDI Corrected manually),0,0,0,0,0
19389,176,176,176,2021,April,2021-04,Coleambally,Coleambally,-34.7972,145.8795,0,0.2412,0.4653,['Highest quality'],0.181640625,99.703125,37.78125,0.076171875,0,1.5,-0.42,0.325,,0.87,86.1953125,"-34.7972,145.8795","Coleambally Lions Park, Kingfisher Avenue, Coleambally, Murrumbidgee Council, New South Wales, 2707, Australia","2707, Australia",2707,BOYD,MURRUMBIDGEE,Coleambally,2,Parishname = Mycotha (CDI Corrected manually),0,0,1,1,1
23026,231,231,231,2018,October,2018-10,Oxley,Oxley,-34.1985,144.0993,0,0.1257,0.2381,['Highest quality'],0.169921875,170.8359375,13.1640625,0.048828125,0.015625,23.203125,0.24,0.844,,2.76,29,"-34.1985,144.0993","Cunningham Street, Oxley, Balranald Shire Council, New South Wales, 2711, Australia","2711, Australia",2711,WALJEERS,BALRANALD,Oxley,2,,0,0,1,1,1
23344,232,232,232,2018,November,2018-11,Oxley,Oxley,-34.1985,144.0993,0,0.1153,0.1937,['Highest quality'],0.1640625,194.7109375,22.953125,0.078125,0.0234375,26.8984375,0.62,0.623,,2.84,52,"-34.1985,144.0993","Cunningham Street, Oxley, Balranald Shire Council, New South Wales, 2711, Australia","2711, Australia",2711,WALJEERS,BALRANALD,Oxley,3,,0,0,0,1,1
23662,233,233,233,2018,December,2018-12,Oxley,Oxley,-34.1985,144.0993,0,0.2028,0.3646,['Highest quality'],0.169921875,231.3203125,39.6875,0.083984375,0.078125,37.3984375,-0.23,0.379,,1.44,87.5,"-34.1985,144.0993","Cunningham Street, Oxley, Balranald Shire Council, New South Wales, 2711, Australia","2711, Australia",2711,WALJEERS,BALRANALD,Oxley,3,,0,0,0,1,1
23980,234,234,234,2019,January,2019-01,Oxley,Oxley,-34.1985,144.0993,0,0.1773,0.2903,['Highest quality'],0.168945313,261.8828125,15.7421875,0.01953125,0,7.3984375,0.36,0.452,,2.79,71.6953125,"-34.1985,144.0993","Cunningham Street, Oxley, Balranald Shire Council, New South Wales, 2711, Australia","2711, Australia",2711,WALJEERS,BALRANALD,Oxley,2,,0,0,1,1,1
24298,235,235,235,2020,December,2020-12,Oxley,Oxley,-34.1985,144.0993,0,0.1626,0.2801,['Highest quality'],0.163085938,237.1015625,27.0390625,0.0546875,0.0078125,16.703125,-1.86,0.1,,2.28,107.703125,"-34.1985,144.0993","Cunningham Street, Oxley, Balranald Shire Council, New South Wales, 2711, Australia","2711, Australia",2711,WALJEERS,BALRANALD,Oxley,5,,0,0,0,0,0
24616,236,236,236,2021,January,2021-01,Oxley,Oxley,-34.1985,144.0993,0,0.1842,0.3114,['Highest quality'],0.162109375,234.640625,29.6875,0.060546875,0.078125,33.8984375,-1.87,0.116,,1.95,60.703125,"-34.1985,144.0993","Cunningham Street, Oxley, Balranald Shire Council, New South Wales, 2711, Australia","2711, Australia",2711,WALJEERS,BALRANALD,Oxley,5,,0,0,0,0,0
